,PC1,PC2,PC3,Anomaly_Label,Anomaly_Score
241,34925987440698.42,-2285049717895.1675,1095688932844.2098,1,0.02175118652629837
242,35472031121743.14,-2576427448471.6665,995725186819.6035,1,0.03132707184578337
243,35862327809043.32,-3137070179591.372,937184096770.2505,1,0.043791217027124185
244,36042983648095.3,-3971536586978.971,759416687605.9832,1,0.022831217806129178
245,36037994237386.64,-4807051855915.568,641431340320.7792,1,0.047228001450247026
246,35814609240507.34,-5731160181870.57,515357228840.7917,1,0.03938937745406035
247,35291668624051.26,-6279782770618.985,232975478959.10184,1,0.02950208517319336
248,34642019300186.32,-6770393344787.484,12544881654.704557,1,0.020726870254542784
249,33957676886876.324,-7052707270957.977,-281008230975.6277,1,0.027547177881193652
250,33122716529529.617,-6905207904705.028,-719664018917.3044,1,0.040408956377951166
251,32283291554813.45,-7031561849060.689,-1179824422804.3818,1,0.03531927903446447
252,31268739326123.26,-7294369387024.253,-1725766334041.1182,1,0.03588576997545534
253,29984319277207.14,-7886227716382.923,-2281400988132.838,1,0.030095551204910476
254,28509960893465.01,-8775827366489.301,-2711869924854.492,1,0.04095322667350165
255,26722722449347.32,-9425677514474.592,-3085440591635.443,1,0.035056330780156464
256,24754580573481.562,-9585133525666.316,-3136470664635.284,1,0.029988730273344644
257,22664935625178.258,-9418327585044.35,-2813360208313.584,1,0.027245611231500433
258,20836504683486.375,-7935091659615.445,-1964156637195.9995,1,0.015074463208780808
259,19306763889536.14,-5827251814574.419,-948085730052.8105,1,0.022058739167072294
260,18755866559266.312,-3209206016749.008,-81634522799.34573,1,0.017883561311682228
261,18786412699226.23,-1198677222222.8704,500438701747.4631,1,0.028628824625842764
262,19446330712704.832,-18252291546.03765,704836322007.4542,1,0.03519461472140928
263,20377728319908.88,721579679603.7538,851137709694.2101,1,0.04113964770411138
264,21574607412628.887,874545386198.0297,869915325349.9155,1,0.04526342166896963
265,22868104900935.19,935236131199.7793,818336964562.6578,1,0.04631649739019689
266,24320764228635.57,734197235582.9703,824755756320.48,1,0.051945729102168436
267,25836493077986.977,619623099067.2273,786815852778.8485,1,0.05931985535848355
268,27392516880622.324,714617415849.6122,781769943005.5487,1,0.054288604429466425
269,29295793228975.516,1450805496916.2312,820132168252.5212,1,0.04971628349127177
270,32046058070274.01,3618656958719.9,680284575358.5891,1,0.0317683622764664
271,35498446799292.38,5680836190643.145,137681132650.11755,1,0.027217993760484283
272,39910062666609.09,7667959169818.126,-527340425697.55023,1,0.026937139213842498
273,44991123726842.54,9947004459069.518,-808120341359.779,1,0.02169915284051782
274,50751611871042.54,11782563415522.535,-1055462937824.114,1,0.042585347458058365
275,56928965973135.61,13265571466625.865,-1151206858207.4846,1,0.030669655257208994
276,63649175820389.62,13685340709664.203,-868050315999.0483,-1,-0.036917732918542445
277,70574060499318.8,13761066369389.576,-538506871679.5009,-1,-0.04286262856027839
